Date	Open	High	Low	Close	Volume
2022-06-09 05:00:00	803.49	810.0	746.18	748.41	677400
2022-06-10 05:00:00	730.63	735.86	689.02	691.69	918900
2022-06-13 05:00:00	643.96	659.96	615.23	626.94	1220600
2022-06-14 05:00:00	630.96	634.67	600.68	616.4	763300
2022-06-15 05:00:00	629.32	683.85	629.12	672.69	1015100
2022-06-16 05:00:00	633.1	641.67	609.05	612.7	626600
2022-06-17 05:00:00	625.24	648.62	614.0	635.22	751000
2022-06-21 05:00:00	654.8	673.59	645.87	656.7	791100
2022-06-22 05:00:00	639.95	695.68	638.12	677.4	719100
2022-06-23 05:00:00	684.49	710.0	674.75	698.64	637700
2022-06-24 05:00:00	713.91	745.9	712.47	739.46	654300
2022-06-27 05:00:00	745.39	752.66	711.52	717.31	657500
2022-06-28 05:00:00	721.0	726.72	659.09	665.0	659900
2022-06-29 05:00:00	657.71	672.09	638.18	660.13	449900
2022-06-30 05:00:00	646.38	653.32	611.46	636.87	700400
2022-07-01 05:00:00	642.62	665.95	631.87	659.95	521100
2022-07-05 05:00:00	649.02	719.82	627.86	713.57	756700
2022-07-06 05:00:00	722.09	728.41	697.01	704.55	664100
2022-07-07 05:00:00	705.53	727.17	700.74	721.62	490400
2022-07-08 05:00:00	702.22	720.59	682.2	708.63	395700
2022-07-11 05:00:00	696.32	696.33	654.56	659.92	512700
2022-07-12 05:00:00	663.2	678.41	643.59	653.63	578700
2022-07-13 05:00:00	633.0	666.2	615.54	655.75	627300
2022-07-14 05:00:00	648.34	665.0	630.23	655.69	586900
2022-07-15 05:00:00	658.0	698.51	657.72	689.99	749400
2022-07-18 05:00:00	700.2	723.66	680.82	691.84	687800
2022-07-19 05:00:00	713.81	725.63	694.64	724.75	463900
2022-07-20 05:00:00	725.17	784.45	724.65	779.68	819400
2022-07-21 05:00:00	771.52	790.76	765.93	789.2	453400
2022-07-22 05:00:00	783.0	802.42	752.96	763.92	514100
2022-07-25 05:00:00	766.0	773.97	751.0	762.78	361800
2022-07-26 05:00:00	740.49	743.85	720.84	727.79	550400
2022-07-27 05:00:00	743.96	794.95	740.74	791.67	581600
2022-07-28 05:00:00	792.72	811.57	766.6	803.75	631100
2022-07-29 05:00:00	818.21	825.0	794.16	813.71	667400
2022-08-01 05:00:00	805.54	838.97	785.0	813.97	497000
2022-08-02 05:00:00	798.76	849.0	798.76	837.59	491100
2022-08-03 05:00:00	852.56	892.97	848.84	890.87	856300
2022-08-04 05:00:00	994.5	1084.99	993.0	1034.83	1851200
2022-08-05 05:00:00	1014.72	1056.54	1007.24	1024.81	849500
2022-08-08 05:00:00	1042.08	1074.5	1018.0	1024.25	618400
2022-08-09 05:00:00	1015.8	1015.8	972.73	995.5	544800
2022-08-10 05:00:00	1050.0	1076.76	1041.57	1064.23	720300
2022-08-11 05:00:00	1076.88	1090.6	1021.03	1032.47	486400
2022-08-12 05:00:00	1050.0	1083.6	1042.66	1081.08	508500
2022-08-15 05:00:00	1073.0	1095.34	1067.09	1082.66	399800
2022-08-16 05:00:00	1070.41	1080.0	1040.46	1053.75	644500
2022-08-17 05:00:00	1030.0	1039.31	990.0	997.9	839100
2022-08-18 05:00:00	995.0	995.0	975.46	977.52	540600
2022-08-19 05:00:00	950.0	952.07	904.21	909.76	840400
2022-08-22 05:00:00	880.88	894.93	860.0	878.09	804400
2022-08-23 05:00:00	889.0	908.16	875.71	887.04	516900
2022-08-24 05:00:00	881.29	917.44	879.5	898.0	490600
2022-08-25 05:00:00	909.02	919.84	896.1	919.18	495000
2022-08-26 05:00:00	920.0	934.6	877.79	877.8	538000
2022-08-29 05:00:00	854.01	891.62	853.28	875.17	358200
2022-08-30 05:00:00	890.0	903.45	849.25	862.1	572000
2022-08-31 05:00:00	868.11	886.29	851.63	855.36	487400
2022-09-01 05:00:00	833.28	860.0	812.46	858.79	689000
2022-09-02 05:00:00	872.0	883.24	847.15	855.91	492900
2022-09-06 05:00:00	855.33	871.64	831.35	857.93	645000
2022-09-07 05:00:00	858.14	893.64	848.39	887.69	542900
2022-09-08 05:00:00	867.86	930.65	866.0	922.54	831100
2022-09-09 05:00:00	932.54	976.2	932.54	970.99	1190100
2022-09-12 05:00:00	974.83	1011.99	974.83	1002.01	704400
2022-09-13 05:00:00	946.37	969.99	935.0	943.9	720700
2022-09-14 05:00:00	947.08	970.86	925.0	960.33	361000
2022-09-15 05:00:00	942.34	982.83	942.34	965.78	682300
2022-09-16 05:00:00	932.95	933.5	904.88	919.11	629500
2022-09-19 05:00:00	900.2	933.7	900.2	933.1	485400
2022-09-20 05:00:00	922.58	929.81	903.11	905.69	506800
2022-09-21 05:00:00	905.89	931.48	887.36	887.5	639300
2022-09-22 05:00:00	876.13	884.9	843.69	850.0	637400
2022-09-23 05:00:00	833.75	840.43	808.0	815.01	562100
2022-09-26 05:00:00	817.08	833.98	797.09	799.58	604100
2022-09-27 05:00:00	821.28	830.0	790.15	804.69	501700
2022-09-28 05:00:00	805.37	871.32	801.3	865.24	743800
2022-09-29 05:00:00	843.1	850.53	818.92	829.68	504900
2022-09-30 05:00:00	818.11	858.55	811.55	827.78	627700
2022-10-03 05:00:00	859.42	893.97	832.0	882.3	955400
2022-10-04 05:00:00	909.89	955.56	909.89	948.25	876600
2022-10-05 05:00:00	919.88	944.3	910.05	933.76	474000
2022-10-06 05:00:00	926.88	962.07	926.59	929.18	374100
2022-10-07 05:00:00	905.22	906.42	874.01	881.99	610000
2022-10-10 05:00:00	883.0	885.26	854.41	872.6	430100
2022-10-11 05:00:00	858.03	863.19	817.25	834.67	652100
2022-10-12 05:00:00	830.33	837.59	800.61	820.65	547400
2022-10-13 05:00:00	777.28	831.13	760.06	822.06	866100
2022-10-14 05:00:00	834.4	845.49	754.76	756.88	727900
2022-10-17 05:00:00	793.79	853.72	793.79	850.66	1057900
2022-10-18 05:00:00	901.5	911.52	841.88	853.29	661600
2022-10-19 05:00:00	834.38	837.03	801.65	815.45	718600
2022-10-20 05:00:00	810.16	852.26	804.01	820.47	630200
2022-10-21 05:00:00	811.52	847.78	797.01	844.9	596500
2022-10-24 05:00:00	838.74	839.21	792.46	827.16	536100
2022-10-25 05:00:00	832.38	878.82	832.38	862.97	609900
2022-10-26 05:00:00	855.6	880.67	830.0	833.36	548000
2022-10-27 05:00:00	836.95	858.39	829.61	836.82	552300
2022-10-28 05:00:00	825.03	881.93	820.31	881.75	644300
2022-10-31 05:00:00	874.55	905.65	860.0	901.62	931800
2022-11-01 05:00:00	933.16	945.16	910.01	919.34	776200
2022-11-02 05:00:00	910.0	913.91	847.0	851.28	746200
2022-11-03 05:00:00	848.72	910.76	840.0	870.88	779800
2022-11-04 05:00:00	947.1	1018.0	919.62	938.57	1340000
2022-11-07 05:00:00	957.0	967.01	914.86	940.78	680600
2022-11-08 05:00:00	946.13	957.52	909.77	937.08	556400
2022-11-09 05:00:00	921.2	934.5	896.07	897.62	569500
2022-11-10 05:00:00	964.45	1006.18	922.88	935.53	1263500
2022-11-11 05:00:00	943.33	989.02	932.86	974.89	838900
2022-11-14 05:00:00	966.16	982.74	950.3	959.58	509000
2022-11-15 05:00:00	1009.74	1039.39	995.55	1020.68	711500
2022-11-16 05:00:00	988.0	1004.0	964.09	972.82	690500
2022-11-17 05:00:00	940.0	949.99	910.84	927.13	720300
2022-11-18 05:00:00	944.42	966.69	936.0	962.08	636100
2022-11-21 05:00:00	948.45	968.15	944.61	963.03	293100
2022-11-22 05:00:00	961.0	963.5	915.8	957.16	431900
2022-11-23 05:00:00	967.0	975.46	945.63	962.43	387200
2022-11-25 05:00:00	957.99	957.99	946.48	951.57	178900
2022-11-28 05:00:00	941.1	956.69	920.85	921.34	505600
2022-11-29 05:00:00	927.2	927.96	882.1	889.26	688800
2022-11-30 05:00:00	893.65	934.17	879.11	930.99	838100
2022-12-01 05:00:00	936.76	955.0	921.68	941.01	502200
2022-12-02 05:00:00	920.01	957.0	912.0	945.07	485800
2022-12-05 05:00:00	933.19	935.94	876.94	881.9	597100
2022-12-06 05:00:00	891.37	893.86	852.0	863.09	414000
2022-12-07 05:00:00	855.62	880.46	845.02	863.81	587700
2022-12-08 05:00:00	872.0	903.92	865.04	884.24	433400
2022-12-09 05:00:00	878.37	908.25	872.06	896.48	409500
2022-12-12 05:00:00	885.28	894.37	868.5	880.25	518100
2022-12-13 05:00:00	931.48	942.09	867.3	870.65	880500
2022-12-14 05:00:00	864.06	887.99	855.0	867.3	579600
2022-12-15 05:00:00	852.07	854.9	818.22	835.09	652100
2022-12-16 05:00:00	830.0	849.61	825.0	843.98	731000
